t=1655301839.6579702;temp=89.625;heater=0.620299940863202;scale=-0.018509151111000002;pressure=4.095;pump=0;stage=2;
t=1655301839.7020931;temp=89.625;heater=0.620299940863202;scale=-0.020497737594;pressure=4.0920000000000005;pump=0;stage=2;
t=1655301839.7590528;temp=89.5625;heater=0.620299940863202;scale=-0.020497737594;pressure=4.0920000000000005;pump=0;stage=2;
t=1655301839.8031678;temp=89.5625;heater=0.620299940863202;scale=-0.004894982112;pressure=4.082;pump=0;stage=2;
t=1655301839.8600726;temp=89.5;heater=0.620299940863202;scale=-0.004894982112;pressure=4.082;pump=0;stage=2;
t=1655301839.9059517;temp=89.5;heater=1.7140358301085703;scale=-0.000152968191;pressure=4.095;pump=0;stage=2;
t=1655301839.9510586;temp=89.5;heater=1.7140358301085703;scale=-0.000152968191;pressure=4.095;pump=0;stage=2;
t=1655301840.0061216;temp=89.5;heater=1.7140358301085703;scale=-0.000152968191;pressure=4.095;pump=0;stage=2;
t=1655301840.0616446;temp=89.5;heater=1.7140358301085703;scale=-0.020344769403;pressure=4.095;pump=0;stage=2;
t=1655301840.1073205;temp=89.5;heater=1.7140358301085703;scale=-0.020344769403;pressure=4.095;pump=0;stage=2;
t=1655301840.1507242;temp=89.5;heater=1.7140358301085703;scale=-0.020344769403;pressure=4.095;pump=0;stage=2;
t=1655301840.206027;temp=89.5;heater=1.7140358301085703;scale=-0.033194097447000005;pressure=4.095;pump=0;stage=2;
t=1655301840.2515953;temp=89.5;heater=1.7140358301085703;scale=-0.033194097447000005;pressure=4.095;pump=0;stage=2;
t=1655301840.307148;temp=89.5;heater=1.7140358301085703;scale=-0.034723779357;pressure=4.09;pump=0;stage=2;
t=1655301840.3542063;temp=89.5;heater=1.7140358301085703;scale=-0.034723779357;pressure=4.09;pump=0;stage=2;
t=1655301840.4024162;temp=89.5;heater=1.7140358301085703;scale=-0.034723779357;pressure=4.09;pump=0;stage=2;
t=1655301840.459724;temp=89.5;heater=1.7140358301085703;scale=-0.039618761469;pressure=4.095;pump=0;stage=2;
t=1655301840.5052524;temp=89.5625;heater=1.7140358301085703;scale=-0.039618761469;pressure=4.095;pump=0;stage=2;
t=1655301840.558819;temp=89.5625;heater=1.7140358301085703;scale=-0.039618761469;pressure=4.095;pump=0;stage=2;
t=1655301840.6025064;temp=89.5625;heater=1.7140358301085703;scale=-0.046502330064;pressure=4.095;pump=0;stage=2;
t=1655301840.6573296;temp=89.5625;heater=1.7140358301085703;scale=-0.046502330064;pressure=4.095;pump=0;stage=2;
t=1655301840.7012718;temp=89.5;heater=1.7140358301085703;scale=-0.046502330064;pressure=4.095;pump=0;stage=2;
t=1655301840.7547626;temp=89.5;heater=1.7140358301085703;scale=-0.036712365840000004;pressure=4.09;pump=0;stage=2;
t=1655301840.8099754;temp=89.5;heater=1.7140358301085703;scale=-0.036712365840000004;pressure=4.09;pump=0;stage=2;
t=1655301840.852544;temp=89.5;heater=1.7140358301085703;scale=-0.036712365840000004;pressure=4.09;pump=0;stage=2;
t=1655301840.9087372;temp=89.4375;heater=1.8721587053686382;scale=-0.033194097447000005;pressure=4.095;pump=0;stage=2;
t=1655301840.9528415;temp=89.4375;heater=1.8721587053686382;scale=-0.033194097447000005;pressure=4.095;pump=0;stage=2;
t=1655301841.0071287;temp=89.4375;heater=1.8721587053686382;scale=-0.033194097447000005;pressure=4.095;pump=0;stage=2;
t=1655301841.0502384;temp=89.375;heater=1.8721587053686382;scale=-0.041607347952;pressure=4.095;pump=0;stage=2;
t=1655301841.1058908;temp=89.375;heater=1.8721587053686382;scale=-0.041607347952;pressure=4.095;pump=0;stage=2;
t=1655301841.1500697;temp=89.375;heater=1.8721587053686382;scale=-0.041607347952;pressure=4.095;pump=0;stage=2;
t=1655301841.2061474;temp=89.375;heater=1.8721587053686382;scale=-0.036865334031;pressure=4.095;pump=0;stage=2;
t=1655301841.2520976;temp=89.375;heater=1.8721587053686382;scale=-0.036865334031;pressure=4.095;pump=0;stage=2;
t=1655301841.3079705;temp=89.375;heater=1.8721587053686382;scale=-0.041454379761000006;pressure=4.095;pump=0;stage=2;
t=1655301841.3539522;temp=89.3125;heater=1.8721587053686382;scale=-0.041454379761000006;pressure=4.095;pump=0;stage=2;
t=1655301841.4104285;temp=89.3125;heater=1.8721587053686382;scale=-0.038089079559000004;pressure=4.095;pump=0;stage=2;
t=1655301841.4566443;temp=89.3125;heater=1.8721587053686382;scale=-0.038089079559000004;pressure=4.095;pump=0;stage=2;
